player_id,gw,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps,ict_index,influence,creativity,threat,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,was_home,opponent_team
16,6,69,2,0,0,0,1,0,0,0,0,10,4.6,4.4,11.4,30.0,0.08,0.01,0.09,0.53,98,False,15
16,7,90,8,1,0,1,0,0,0,0,0,22,9.3,38.8,23.6,31.0,0.84,1.11,1.95,0.49,98,True,19
16,8,90,7,0,0,1,0,0,0,0,2,28,15.3,28.8,80.3,44.0,0.07,0.55,0.62,0.44,99,False,10
16,9,65,3,0,0,1,0,0,0,0,0,8,0.7,2.2,1.9,3.0,0.02,0.01,0.03,0.08,100,True,8
16,10,90,3,0,0,1,0,0,0,0,0,3,7.7,12.4,24.3,40.0,0.58,0.06,0.64,0.42,101,False,3
16,11,90,12,1,0,0,2,0,0,0,3,40,13.2,49.6,36.7,46.0,0.52,0.19,0.71,0.44,101,False,17
16,12,90,4,0,0,0,1,0,0,0,0,16,6.6,17.4,27.3,21.0,0.11,0.09,0.20,0.07,101,True,18
16,13,90,5,0,1,0,1,0,0,0,0,21,6.6,22.0,16.6,27.0,0.19,0.58,0.77,0.79,101,False,7
16,14,29,6,1,0,0,0,0,0,0,0,22,7.4,38.0,1.8,34.0,0.60,0.01,0.61,0.07,101,True,5
16,15,78,4,0,1,0,1,1,0,0,0,18,9.5,12.6,46.3,36.0,0.58,0.31,0.89,1.32,101,False,2
16,16,90,11,0,2,0,1,0,0,0,3,52,9.5,21.6,59.5,14.0,0.03,0.42,0.45,0.38,102,True,20
16,17,90,3,0,0,1,0,0,0,0,0,17,6.8,16.0,19.9,32.0,0.29,0.06,0.35,0.20,103,False,9
16,18,90,7,0,1,0,1,0,0,0,2,30,16.4,36.2,52.3,75.0,0.64,0.30,0.94,0.85,103,True,6
16,19,82,6,0,1,1,0,0,0,0,0,10,2.7,0.0,13.0,15.0,0.38,0.02,0.40,0.67,103,True,2
16,20,23,4,0,1,0,1,0,0,0,0,19,6.6,21.0,36.0,9.0,0.02,0.23,0.25,0.06,103,False,4
16,21,77,3,0,0,1,0,0,0,0,0,6,2.7,4.8,3.8,18.0,0.13,0.02,0.15,0.30,102,True,12
16,22,33,1,0,0,0,0,0,0,0,0,12,8.9,18.8,48.8,21.0,0.13,0.38,0.51,0.10,102,False,16
16,23,90,2,0,0,0,3,0,0,0,0,19,9.7,18.6,45.5,33.0,0.07,0.43,0.50,0.71,101,True,14
16,24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,100,False,11
16,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,99,True,17
16,26,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,99,False,5
16,26,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,99,False,20
17,1,90,5,0,0,1,0,0,0,0,0,16,5.5,17.8,20.3,17.0,0.09,0.29,0.38,1.52,80,False,14
17,2,37,1,0,0,0,0,0,0,0,0,5,0.9,1.6,4.4,3.0,0.05,0.05,0.10,0.17,80,True,11
17,3,20,1,0,0,0,1,0,0,0,0,3,0.6,1.4,2.2,2.0,0.00,0.01,0.01,0.25,79,False,12
17,4,17,1,0,0,0,0,0,0,0,0,3,0.5,0.0,5.2,0.0,0.00,0.00,0.00,0.00,79,True,16
17,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,79,True,13
17,6,8,4,0,1,0,0,0,0,0,0,16,3.5,19.0,16.4,0.0,0.00,0.25,0.25,0.08,79,False,15
17,7,29,1,0,0,0,0,0,0,0,0,4,2.0,3.2,16.5,0.0,0.00,0.21,0.21,0.34,79,True,19
17,8,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,79,False,10
17,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,79,True,8
17,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,79,False,3
17,11,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,78,False,17
17,12,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,78,True,18
17,13,33,1,0,0,0,0,0,0,0,0,3,0.4,1.4,2.8,0.0,0.00,0.04,0.04,0.27,78,False,7
17,14,90,3,0,0,1,0,0,0,0,0,15,7.4,18.0,50.0,6.0,0.02,0.08,0.10,0.35,78,True,5
17,15,90,2,0,0,0,2,0,0,0,0,21,8.9,25.8,36.2,27.0,0.14,0.15,0.29,2.16,78,False,2
17,16,33,1,0,0,0,1,0,0,0,0,2,2.5,0.0,15.9,9.0,0.12,0.02,0.14,0.09,78,True,20
17,17,87,3,0,0,1,0,0,0,0,0,12,7.3,12.0,56.8,4.0,0.00,0.16,0.16,0.20,78,False,9
17,18,90,10,1,0,0,1,0,0,0,3,37,13.3,54.4,64.3,14.0,0.15,0.07,0.22,0.85,78,True,6
17,19,90,5,0,1,0,1,0,0,0,0,29,11.9,32.8,45.4,41.0,0.27,0.61,0.88,2.67,78,True,2
17,20,79,7,0,1,0,2,0,0,0,2,26,5.3,24.8,25.2,3.0,0.03,0.15,0.18,1.42,78,False,4
